Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
EXTERNAL_FIELD_NIBC_Q14_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AO:AO;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q15_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AP:AP;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q15_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AQ:AQ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q15_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AR:AR;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q16_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AS:AS;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q16_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AT:AT;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q16_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AU:AU;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q17_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AV:AV;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q17_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AW:AW;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q17_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AX:AX;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q18_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AY:AY;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q18_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!AZ:AZ;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q18_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BA:BA;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q19_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BB:BB;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q19_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BC:BC;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q19_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BD:BD;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q20_SELF;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BE:BE;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q20_MANAGER;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BF:BF;*|intro_field2_response|*;;;
EXTERNAL_FIELD_NIBC_Q20_COLLEAGUE;spreadsheet;realtime;;1hxWN41XwlsOJbxvUWcC-YESNgvNzMfJVtwqGz0koV0w;Calculations!BG:BG;*|intro_field2_response|*;;;
