Name;Type (spreadsheet, plain or custom_api);Data freshness (realtime, 1h, 4h, 12h or 1d);Value (if type is plain);Spreadsheet ID (if type is spreadsheet);Cell (if type is spreadsheet);Filter value (if type is spreadsheet);Comparison value (if type is spreadsheet);Endpoint (if type is custom_api);Tree (if type is custom_api)
OKR_Q9_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AQ1000;*|intro_field1_response|*;;;
OKR_Q10_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AR1000;*|intro_field1_response|*;;;
OKR_Q10_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AS1000;*|intro_field1_response|*;;;
OKR_Q10_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AT1000;*|intro_field1_response|*;;;
OKR_Q10_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AU1000;*|intro_field1_response|*;;;
OKR_Q10_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AV1000;*|intro_field1_response|*;;;
OKR_Q10_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AW1000;*|intro_field1_response|*;;;
OKR_Q11_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AX1000;*|intro_field1_response|*;;;
OKR_Q11_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AY1000;*|intro_field1_response|*;;;
OKR_Q11_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:AZ1000;*|intro_field1_response|*;;;
OKR_Q11_A3;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BA1000;*|intro_field1_response|*;;;
OKR_Q11_A4;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BB1000;*|intro_field1_response|*;;;
OKR_Q11_A5;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BC1000;*|intro_field1_response|*;;;
OKR_Q12_GLOBAL;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BD1000;*|intro_field1_response|*;;;
OKR_Q12_A1;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BE1000;*|intro_field1_response|*;;;
OKR_Q12_A2;spreadsheet;realtime;;1_Wa-nsSzRlS9NLcicRp9ZgFoYnBp3hYfEO6Qd8EkO-A;Calculations!A2:BF1000;*|intro_field1_response|*;;;
